workflow_blob_url,local_path,batch,purpose
https://github.com/microsoft/ignite25-LAB506-migrate-and-modernize-windows-and-sql-server-workloads-to-azure/blob/2361f423782e246f1dcde439cfcf13ec3acc3cb8/.github/workflows/add-to-project.yml,workflows/add-to-project.yml,pilot,
https://github.com/nextcloud/event_update_notification/blob/dbbcdeaefdb567c63514c2d9d109b194d9555370/.github/workflows/appstore-build-publish.yml,workflows/appstore-build-publish.yml,pilot,
https://github.com/AdobeDocs/analytics.es-ES/blob/bbea3fecbed43fcc4f76c240e8063834f22fec7f/.github/workflows/assign-issue.yml,workflows/assign-issue (1).yml,pilot,
https://github.com/AdobeDocs/audience-manager.ja-JP/blob/7716288cec4103a9bb6f47bcb9a114e502a5d3e8/.github/workflows/assign-issue.yml,workflows/assign-issue.yml,pilot,
https://github.com/AdobeDocs/marketo-developer.de-DE/blob/bf104843e4d81c75f80e5f1f504bad0def780ca0/.github/workflows/assign-pr.yml,workflows/assign-pr.yml,pilot,
https://github.com/cloudposse-terraform-components/aws-dms-iam/blob/b4c7a43513587461e92bbf7321ca8d0a7c61abe6/.github/workflows/automerge.yml,workflows/automerge.yml,pilot,
https://github.com/Automattic/jetpack-error/blob/d40695275ff442b91a1c85931064b3a68b97cc45/.github/workflows/autotagger.yml,workflows/autotagger.yml,pilot,
https://github.com/Tencent/TencentKona-21/blob/2ea772e625566036ae465a1cff18679c530b723f/.github/workflows/build-cross-compile.yml,workflows/build-cross-compile.yml,pilot,
https://github.com/fabric8io/kubernetes-client/blob/2cf3c3d5eb0c231ef9aa00fc20fed26eeb7f8cc9/.github/workflows/build.yml,workflows/build.yml,pilot,
https://github.com/cloudposse-terraform-components/aws-ec2-client-vpn/blob/a79a5b5bc650b7c59d783f8731f79f0826b3c977/.github/workflows/chatops.yml,workflows/chatops (1).yml,pilot,
https://github.com/cloudposse-terraform-components/aws-eks-storage-class/blob/31d7b55260b54e1aecb2a258b3b51a9d022d33de/.github/workflows/chatops.yml,workflows/chatops.yml,pilot,
https://github.com/aziontech/lib/blob/46d9732d8686dc77bb2163fd8c0bca360f12026c/.github/workflows/code-review.yml,workflows/code-review.yml,pilot,
https://github.com/canonical/checkbox/blob/749ed2a9e19ae42bc56fe477b2bbc59fb37a7342/.github/workflows/daily-builds.yml,workflows/daily-builds.yml,pilot,
https://github.com/envoyproxy/envoy-openssl/blob/bfe0463d44a2e58911345edcf5fa52d3c97d3a65/.github/workflows/envoy-prechecks.yml,workflows/envoy-prechecks.yml,pilot,
https://github.com/adafruit/Adafruit_CircuitPython_SCD30/blob/4f248d65784ee333a6797b92b62b86800f92c6e0/.github/workflows/failure-help-text.yml,workflows/failure-help-text.yml,pilot,
https://github.com/turbot/steampipe-plugin-crtsh/blob/63c04d6195952c0d1f18b5d3630fbe4619f78c55/.github/workflows/golangci-lint.yml,workflows/golangci-lint.yml,pilot,
https://github.com/oracle-devrel/platform-migration-group/blob/5d62b71ab335946a5641ad5961766f92cdb3eb3b/.github/workflows/license_audit.yml,workflows/license_audit.yml,pilot,
https://github.com/ocicl/invistra/blob/f0aff9f6af8768c7e7d3c93928195e6d14617e25/.github/workflows/main.yml,workflows/main.yml,pilot,
https://github.com/es-shims/all/blob/84ccfd69b5ab9df4f0dfa3c1da04f63c5b7d4f17/.github/workflows/node-tens.yml,workflows/node-tens.yml,pilot,
https://github.com/run-llama/liteparse/blob/a65b006bed198379712b52c10320f86287f35afd/.github/workflows/ocr_servers.yml,workflows/ocr_servers.yml,pilot,
https://github.com/canonical/ngc-integrator-operator/blob/ceb9fe2147451b14a54c14088e831331f61e8769/.github/workflows/on_pull_request.yaml,workflows/on_pull_request.yaml,pilot,
https://github.com/canonical/libvpl-tools-debian-packaging/blob/68bc0846b81245515607219e0e88b431c3a3ca49/.github/workflows/pr-draft.yml,workflows/pr-draft.yml,pilot,
https://github.com/simp/pupmod-simp-sudo/blob/9c5d088ccfacaf0bc165e1711c2cea39a6f1a0b9/.github/workflows/pr_tests.yml,workflows/pr_tests.yml,pilot,
https://github.com/canonical/cert-manager-rock/blob/b3013b8d1cab80669763b69a287f885bfde2642f/.github/workflows/pull_request.yaml,workflows/pull_request (1).yaml,pilot,
https://github.com/canonical/kepler-rocks/blob/bca886ea281e89de4281a1f8740097e1aaa0423e/.github/workflows/pull_request.yaml,workflows/pull_request (2).yaml,pilot,
https://github.com/canonical/metallb-rocks/blob/e12003914345725800a92c953621d73c622a0c80/.github/workflows/pull_request.yaml,workflows/pull_request (3).yaml,pilot,
https://github.com/canonical/sriov-dpdk-rocks/blob/0edc9e5191c083ef97b88cf912b8603de97c8ba7/.github/workflows/pull_request.yaml,workflows/pull_request.yaml,pilot,
https://github.com/fortinet-fortisoar/connector-netscaler-adc/blob/c28fecce3f770ad2d95d55c7184378e5c3f1ffa0/.github/workflows/pytest_checks.yml,workflows/pytest_checks (1).yml,pilot,
https://github.com/fortinet-fortisoar/connector-one-identity/blob/b9440a22203ef94de1ba6df167e89b41edb7f2e5/.github/workflows/pytest_checks.yml,workflows/pytest_checks.yml,pilot,
https://github.com/turbot/steampipe-plugin-ibm/blob/850e03e17b5d08197c6505e3be559cb2d15da743/.github/workflows/registry-publish.yml,workflows/registry-publish.yml,pilot,
